date,ind,rain,ind,maxt,ind,mint,gmin,soil
05-Apr-13,0,0,4, ,4, , , 
06-Apr-13,0,0,4, ,4, , , 
07-Apr-13,0,0,4, ,4, , , 
08-Apr-13,0,0,4, ,4, , , 
09-Apr-13,0,0.3,4, ,4, , , 
10-Apr-13,0,3.7,4, ,4, , , 
11-Apr-13,0,4.6,4, ,4, , , 
12-Apr-13,4,0,4, ,4, , , 
13-Apr-13,0,12.7,4, ,4, , , 
14-Apr-13,0,3.9,4, ,4, , , 
15-Apr-13,0,9.4,4, ,4, , , 
16-Apr-13,0,9.6,4, ,4, , , 
17-Apr-13,0,6.4,4, ,4, , , 
18-Apr-13,0,4.5,4, ,4, , , 
19-Apr-13,0,0,4, ,4, , , 
20-Apr-13,0,11.9,4, ,4, , , 
21-Apr-13,0,3.6,4, ,4, , , 
22-Apr-13,0,0.1,4, ,4, , , 
23-Apr-13,0,10.7,0,12.8,0,7.1,5.1, 
24-Apr-13,0,2.2,0,12.2,0,7.1,4.3, 
25-Apr-13,0,3.5,0,11.2,0,4.2,1.9, 
26-Apr-13,0,5.4,0,9.5,0,3.5,1.5, 
27-Apr-13,0,0.8,0,12.4,2,3.8,2.5, 
28-Apr-13,0,1.3,0,11,0,5.5,4, 
29-Apr-13,0,1.7,0,11.3,0,4.5,2.7, 
30-Apr-13,0,0.9,0,12.7,0,3.8,2, 
01-May-13,0,0.1,0,12.4,0,6.5,5.9, 
02-May-13,0,5.5,0,13,0,9.3,8.5, 
03-May-13,0,9.5,0,12.7,0,4.8,2.7, 
04-May-13,0,0.8,0,12.6,0,4.2,2.2, 
05-May-13,0,11.9,0,13.2,0,10,9.5, 
06-May-13,0,3.1,0,12.2,0,10.2,6.5, 
07-May-13,0,5.9,0,15.5,0,10.5,9, 
08-May-13,0,9.5,0,13.5,0,6.6,6.4, 
09-May-13,0,3.5,0,11.7,0,7.9,6.2, 
10-May-13,0,2.2,0,11.2,0,7,5.5, 
11-May-13,0,4.6,0,11.3,0,7.1,5.5, 
12-May-13,0,3.7,0,12.2,0,4.8,3.5, 
13-May-13,0,6.2,0,10.3,0,3.9,2, 
14-May-13,0,4.5,0,11.1,0,4.8,2.1, 
15-May-13,0,4.3,0,10.6,0,5.1,3.5, 
16-May-13,0,0.8,0,11.5,0,4.9,3.5, 
17-May-13,0,0.3,0,13.5,0,6.2,5, 
18-May-13,0,27.4,0,11,0,8.4,4, 
19-May-13,0,0.5,0,12,0,8.3,5, 
20-May-13,0,0.1,0,12,0,7.8,6.5, 
21-May-13,0,0.6,0,12.6,0,6,3, 
22-May-13,0,0,0,11.9,0,6.5,4, 
23-May-13,0,0,0,12.6,0,6,3.5, 
24-May-13,0,0.4,0,12.2,0,9.9,4.8, 
25-May-13,0,9.7,0,12.7,0,7,4, 
26-May-13,0,7.3,0,13.8,0,7.4,6.5, 
27-May-13,0,8.9,0,12.5,0,7.3,6.6, 
28-May-13,0,0.8,0,13,0,6.3,4, 
29-May-13,4,0,0,18,0,6.4,3, 
30-May-13,0,1.2,0,14.1,0,9.5,7.5, 
31-May-13,0,0.3,0,13.4,0,8.6,7, 
01-Jun-13,0,0.2,2,14.4,0,8.9,6.6, 
02-Jun-13,0,0.4,0,14.5,0,11.5,8.5, 
03-Jun-13,4,0,0,18.4,0,11.9,7.9, 
04-Jun-13,0,0,0,20.1,0,9.5,6.5, 
05-Jun-13,4,0,0,21.5,0,10.1,5, 
06-Jun-13,0,0,0,20.7,0,11.1,6.5, 
07-Jun-13,0,0,0,23.3,0,9.9,8.3, 
08-Jun-13,0,0,0,22.1,0,11.6,4.6, 
09-Jun-13,0,0,0,22.2,0,10.5,6.5, 
10-Jun-13,0,2.3,0,18.6,0,12.2,5.7, 
11-Jun-13,0,5,0,16.3,0,8.4,4, 
12-Jun-13,0,0.9,0,17.9,0,9.7,5, 
13-Jun-13,0,4.1,0,15,0,9.9,5.5, 
14-Jun-13,0,14.1,0,14.2,0,8,4.1, 
15-Jun-13,0,0,0,15.2,0,8.4,4, 
16-Jun-13,0,0,0,15.7,0,9.9,5.5, 
17-Jun-13,0,0,0,18.8,0,10.8,3.5, 
18-Jun-13,0,0.2,0,16.6,0,9.8,3, 
19-Jun-13,0,0.5,0,16.4,0,11.1,5.5, 
20-Jun-13,0,3.5,0,15.1,0,9.4,4, 
21-Jun-13,0,7.3,0,14.5,0,9.6,4.5, 
22-Jun-13,0,1.8,0,14.6,0,10.6,4.9, 
23-Jun-13,0,0,0,15.1,0,9.9,3, 
24-Jun-13,0,0.3,0,15.3,0,9.5,7.5, 
25-Jun-13,0,0,0,15.9,0,7.2,4, 
26-Jun-13,0,0.6,0,16.1,0,11.3,4.3, 
27-Jun-13,0,1,0,15.1,0,12.2,6.5, 
28-Jun-13,0,1.3,0,14.6,0,10.9,4.3, 
29-Jun-13,0,3.2,0,17.7,0,12.6,5.5, 
30-Jun-13,0,1,0,15.6,0,10.5,4.1, 
01-Jul-13,0,6.5,0,14.7,0,10.3,8.4, 
02-Jul-13,0,3.7,0,14.4,0,11.2,8.4, 
03-Jul-13,0,14,0,15.4,0,11,8.3, 
04-Jul-13,0,0.6,0,15.4,0,11.5,10.4, 
05-Jul-13,0,0.2,0,16.1,0,12.4,9.8, 
06-Jul-13,0,0.9,0,18.6,0,13.5,6.5, 
07-Jul-13,4,0,0,23,0,13.4,11.3, 
08-Jul-13,0,0,0,26.1,0,14.9,10.5, 
09-Jul-13,0,0,0,25.8,0,13.5,8, 
10-Jul-13,0,0,0,25.6,0,12.5,6, 
11-Jul-13,0,0,0,25.1,0,14,8.4, 
12-Jul-13,0,0,0,23.6,0,12.5,6.5, 
13-Jul-13,0,0,0,18,0,11.5,6.9, 
14-Jul-13,0,0,0,19.4,0,10,5, 
15-Jul-13,0,0,0,20.3,0,11.4,7.5, 
16-Jul-13,0,0,2,21,0,14.6,12.8, 
17-Jul-13,0,0,0,21.2,0,12.7,10, 
18-Jul-13,0,0,0,22.5,0,13.9,8, 
19-Jul-13,0,0,0,28.1,0,13.7,7.1, 
20-Jul-13,0,1.1,0,28.4,0,15.6,6.9, 
21-Jul-13,0,0,0,24.2,0,15.3,5.5, 
22-Jul-13,0,0.5,0,24.3,0,16,7, 
23-Jul-13,0,9.2,0,21.5,0,14.7,8.4, 
24-Jul-13,0,7.2,0,18.8,0,11.9,6.3, 
25-Jul-13,0,0,0,20.5,0,10.6,6.9, 
26-Jul-13,0,0.1,0,23.5,0,12.4,7.5, 
27-Jul-13,0,1.9,0,22.6,0,13.2,6.9, 
28-Jul-13,0,4.1,0,21.5,0,13.4,5.1, 
29-Jul-13,0,12.4,0,18.5,0,12,5.5, 
30-Jul-13,0,2.6,0,18.4,0,10.1,5, 
31-Jul-13,0,22.9,0,17.5,0,9.6,4, 
01-Aug-13,0,8.6,0,21.4,0,14.8, , 
02-Aug-13,0,6,0,17.7,0,12.4, , 
03-Aug-13,0,1.4,0,18.2,0,11.4, , 
04-Aug-13,0,0.2,0,18.5,0,11, , 
05-Aug-13,0,0,0,17.2,0,12.3, , 
06-Aug-13,0,7.8,0,17.8,0,12.5, , 
07-Aug-13,0,11,0,19.8,0,13.4, , 
08-Aug-13,0,2.6,0,18.6,0,12.8, , 
09-Aug-13,0,0.4,0,16.7,0,12.6, , 
10-Aug-13,1,1.9,0,16.8,0,11, , 
11-Aug-13,1,2.2,0,17.2,0,11.6, , 
12-Aug-13,0,5.3,0,16.7,0,12, , 
13-Aug-13,0,0.7,0,17.2,0,14, , 
14-Aug-13,0,14.6,0,17.5,0,15.5, , 
15-Aug-13,0,2.4,0,17.2,0,13.7, , 
16-Aug-13,0,9.3,0,18.6,0,14.1, , 
17-Aug-13,0,1.4,0,18.2,0,11.6, , 
18-Aug-13,0,0.5,0,16.4,0,11.4, , 
19-Aug-13,0,0,0,18,0,14.4, , 
20-Aug-13,0,9.7,0,17.7,0,14.4, , 
21-Aug-13,0,0.2,0,16.9,0,12.1,10.1, 
22-Aug-13,0,5.3,0,21,0,13.1,11, 
23-Aug-13,0,1.1,0,16.5,0,13.2,9.1, 
24-Aug-13,0,6.4,0,16,0,11.3,8.6, 
25-Aug-13,0,0,0,16.1,0,12.8,11, 
26-Aug-13,0,1.6,0,18.3,0,11.4,8, 
27-Aug-13,0,0,0,16.6,0,8.5,8.5, 
28-Aug-13,0,1,0,16.9,0,13.2,12.9, 
29-Aug-13,0,1.8,0,16.8,0,13.9,11, 
30-Aug-13,0,1.1,0,16.4,0,11,7, 
31-Aug-13,0,0,0,15.5,0,11.6,10.3, 
01-Sep-13,0,1.2,0,16.4,0,13.6,13.5, 
02-Sep-13,0,0.5,0,17.5,0,14.4,8.5, 
03-Sep-13,4,0,0,18.5,0,14.5,13.6, 
04-Sep-13,0,12,0,17.5,0,8.9,5.5, 
05-Sep-13,0,0.5,0,17.5,0,5.1,3.4, 
06-Sep-13,0,2.6,0,15,0,8.6,7.5, 
07-Sep-13,0,12.4,0,13,0,8.5,8.2, 
08-Sep-13,0,0,0,14.9,0,10.2,7.5, 
09-Sep-13,0,2.9,0,15.6,0,10.5,7.5, 
10-Sep-13,0,4,0,15.6,0,11.8,11.1, 
11-Sep-13,0,2.9,0,15.7,0,12,10.4, 
12-Sep-13,0,3.3,0,16.2,0,14,13.5, 
13-Sep-13,0,2.5,0,14.7,0,8.8,6.1, 
14-Sep-13,0,9.4,0,15.9,0,11.5,11.4, 
15-Sep-13,0,3.4,0,14.7,0,6.7,6.4, 
16-Sep-13,0,8,0,13.1,0,8,7.5, 
17-Sep-13,0,1.9,0,14.4,0,8.4,7.7, 
18-Sep-13,0,10.8,0,15.1,0,9.8,8.1, 
19-Sep-13,0,0.1,0,15.1,0,9.3,9.9, 
20-Sep-13,0,0.3,0,16.6,0,13,13.1, 
21-Sep-13,0,0.6,0,17.5,0,13.3,13.1, 
22-Sep-13,0,0,0,21.9,0,13,10.5, 
23-Sep-13,0,0.1,0,23,0,15.1,13.1, 
24-Sep-13,0,0.2,0,19.1,0,11.3,9.6, 
25-Sep-13,0,0.8,0,17.5,0,13,11.6, 
26-Sep-13,4,0,0,17.8,0,12.8,10.4, 
27-Sep-13,0,0,0,21.2,0,13.6,11.5, 
28-Sep-13,0,0,0,21.9,0,14.4,12.6, 
29-Sep-13,0,0.1,0,18.1,0,13,12.7, 
30-Sep-13,0,2,0,17,0,13.9,14.5, 
01-Oct-13,0,1.7,0,19.9,0,15.4,14.5, 
02-Oct-13,0,0.9,0,20.5,0,15.1,13.9, 
03-Oct-13,0,1.7,0,17.9,0,12,13, 
04-Oct-13,0,0.3,0,15.5,0,11.5,11.1, 
05-Oct-13,0,3,0,17.6,0,12.5,10.6, 
06-Oct-13,0,1.6,0,17.6,0,15.4,14.8, 
07-Oct-13,0,5.2,0,17.4,0,12.3,11.3, 
08-Oct-13,0,0.4,0,14.5,0,10.4,9.4, 
09-Oct-13,0,0.1,0,12.5,0,6.1,4.5, 
10-Oct-13,0,0,0,15.4,0,3.4,1.5, 
11-Oct-13,0,0,0,13.1,0,4.9,3.2, 
12-Oct-13,0,0.1,0,13.2,0,5.8,2.9, 
13-Oct-13,4,0,0,14,0,6.9,3.4, 
14-Oct-13,0,0,0,14.6,0,4.2,3.4, 
15-Oct-13,0,8.3,0,14.5,0,8.1,7, 
16-Oct-13,0,1.9,0,15.3,0,10.1,8.9, 
17-Oct-13,0,2.5,0,16.5,0,10.4,9.9, 
18-Oct-13,0,1.6,0,14.9,0,13,10, 
19-Oct-13,0,3.5,0,15.4,0,11.5,10, 
20-Oct-13,0,0.3,0,14.7,0,9.6,8.5, 
21-Oct-13,0,3.6,0,15.1,0,10.1,9.4, 
22-Oct-13,0,4,0,15.3,0,9.8,6, 
23-Oct-13,0,0.2,0,12.3,0,8.4,4.8, 
24-Oct-13,0,13.5,0,15.4,0,4.4,2.1, 
25-Oct-13,0,4.1,0,15,0,9.5,8.5, 
26-Oct-13,0,14.3,0,13.9,0,8.4,7.6, 
27-Oct-13,0,2.4,0,13.4,0,8.2,6.1, 
28-Oct-13,0,4.1,0,11.6,0,6.5,5, 
29-Oct-13,0,1.2,0,12.6,0,7.1,5.4, 
30-Oct-13,0,12.9,0,13.1,0,8.2,6.1, 
31-Oct-13,0,5.7,0,13,0,7.2,5.1, 
01-Nov-13,0,9.9,0,11.6,0,6,5, 
02-Nov-13,0,2.8,0,9.1,0,5.5,3.5, 
03-Nov-13,0,0.2,0,11.6,0,2.1,0.2, 
04-Nov-13,0,8.7,0,10.1,0,4.2,3.6, 
05-Nov-13,0,3.2,0,10.2,0,6.1,5.2, 
06-Nov-13,0,8,0,9.2,0,4.9,3.1, 
07-Nov-13,1,8.6,0,11.5,0,2.8,2.2, 
08-Nov-13,1,6.2,0,9.4,0,4.6,3.5, 
09-Nov-13,0,3.5,0,8.9,0,4.1,0.5, 
10-Nov-13,0,6.7,0,13.3,0,6.3,4.7, 
11-Nov-13,0,1.2,0,12.9,0,6.2,4, 
12-Nov-13,0,0.5,0,11.2,0,6.6,5, 
13-Nov-13,0,7.4,0,12.8,0,7.4,5.1, 
14-Nov-13,0,0.2,0,11,0,7.9,6.3, 
15-Nov-13,0,0,0,12.2,0,10,8.5, 
16-Nov-13,0,1.6,0,13.1,0,6.2,5, 
17-Nov-13,0,1.3,0,10.1,0,5,3.1, 
18-Nov-13,0,3.5,0,7.9,0,1.4,0.5, 
19-Nov-13,0,2.2,0,9.6,0,4,1.5, 
20-Nov-13,0,0.6,0,9.1,0,4,2.5, 
21-Nov-13,0,0.7,0,7.8,0,2.2,2.6, 
22-Nov-13,0,0.4,0,9.1,0,2.5,1.4, 
23-Nov-13,0,1.1,0,9.2,0,3.2,2.5, 
24-Nov-13,0,1.1,0,9.1,0,3.8,3.1, 
25-Nov-13,0,0.5,0,9,0,6,4.5, 
26-Nov-13,0,0.1,0,11.5,0,7.1,4.9, 
27-Nov-13,4,0,0,11.7,0,8,6.5, 
28-Nov-13,0,1,0,10.9,0,8,6.1, 
29-Nov-13,0,0.5,0,10.4,0,5.5,3.5, 
30-Nov-13,0,0.7,0,9.6,0,5.5,2.9, 
01-Dec-13,0,0.1,0,11.1,0,6.8,4.5, 
02-Dec-13,0,0.4,0,11.2,0,7.5,6, 
03-Dec-13,0,4.2,0,12.3,0,6.5,4.1, 
04-Dec-13,0,1.5,0,11,0,5.4,4.8, 
05-Dec-13,0,2.2,0,10.5,0,5,3.5, 
06-Dec-13,0,1,0,10.5,0,6.9,4.9, 
07-Dec-13,0,2,0,11.7,0,8.8,7, 
08-Dec-13,0,0.9,0,13.2,0,8.3,6.5, 
09-Dec-13,4,0,0,13.2,0,10.2,9.3, 
10-Dec-13,0,0.7,0,15.2,0,11.2,11, 
11-Dec-13,0,7.2,0,13.6,0,11.2,10.1, 
12-Dec-13,0,6.1,0,14.3,0,8.5,7.7, 
13-Dec-13,0,19.2,0,11.1,0,3.9,4, 
14-Dec-13,0,20.6,0,11.2,0,5.1,2.6, 
15-Dec-13,0,15.1,0,12.2,0,3.5,1.5, 
16-Dec-13,0,2.5,0,8.1,0,3.9,3, 
17-Dec-13,0,7.6,0,11,0,5.2,5, 
18-Dec-13,0,12.2,0,11.1,0,5.6,2, 
19-Dec-13,0,3.8,0,9.5,0,1.5,1.5, 
20-Dec-13,0,25.3,0,11.5,0,3.1,1.6, 
21-Dec-13,0,9.5,0,8.6,0,2.2,1.5, 
22-Dec-13,0,8,0,8.4,0,2.3,1.1, 
23-Dec-13,0,13.5,0,10.9,0,1.5,1.5, 
24-Dec-13,0,1.1,0,7.5,0,4.2,3, 
25-Dec-13,0,7.6,0,8.5,0,3.6,2, 
26-Dec-13,0,15.7,0,9.5,0,2.8,2.5, 
27-Dec-13,0,3.5,0,8.6,0,4,1.5, 
28-Dec-13,0,1.1,0,7,0,3.2,0.3, 
29-Dec-13,0,12.2,0,10.9,0,4.5,3, 
30-Dec-13,0,11.6,0,9.1,0,2.7,2.5, 
31-Dec-13,0,13,0,8.3,0,3.6,1.8, 
01-Jan-14,0,5.1,0,7.2,0,4.1,3.8, 
02-Jan-14,0,21.9,0,9.4,0,3.5,0.5, 
03-Jan-14,0,7.7,0,9.2,0,2,2, 
04-Jan-14,0,6.5,0,8.7,0,2.1,0.5, 
05-Jan-14,0,11.7,0,11.5,0,6,5.1, 
06-Jan-14,0,5.1,0,10.2,0,6.2,6.6, 
07-Jan-14,0,3.6,0,9.5,0,5.3,2.9, 
08-Jan-14,0,0.5,0,9.9,0,2.6,0.5, 
09-Jan-14,0,8.3,0,8.9,0,4.9,3, 
10-Jan-14,0,5.9,0,8.6,0,2,2, 
11-Jan-14,0,2.9,0,9.2,0,1.1,0.5, 
12-Jan-14,0,16.6,0,8.9,0,2.7,1, 
13-Jan-14,0,1.2,0,6.6,0,2,0.9, 
14-Jan-14,0,18.2,0,10.5,0,4.5,4.5, 
15-Jan-14,0,1.1,0,9.6,0,3.8,3.2, 
16-Jan-14,0,1,0,8.4,0,4,1.5, 
17-Jan-14,0,2.5,0,8.5,0,3.1,2, 
18-Jan-14,0,2,0,6.8,0,3,2, 
19-Jan-14,0,8.9,0,7.1,0,3.5,1.5, 
20-Jan-14,0,1.1,0,9.2,0,3.3,2, 
21-Jan-14,0,4.9,0,10.5,0,3.5,2, 
22-Jan-14,0,5.8,0,10,0,3.5,2.3, 
23-Jan-14,0,26.3,0,11,0,4,4, 
24-Jan-14,0,9.2,0,11.6,0,5.5,5, 
25-Jan-14,0,24.1,0,10.5,0,2.5,2.6, 
26-Jan-14,0,5.5,0,8.2,0,3.5,2.5, 
27-Jan-14,0,10,0,8.9,0,4.5,4, 
28-Jan-14,0,3.2,0,8,0,3.4,2.1, 
29-Jan-14,0,2.6,0,8.8,0,4.1,2, 
30-Jan-14,0,9.5,0,7.9,0,3,2.4, 
31-Jan-14,0,18.9,0,8.4,0,2.6,0.6, 
01-Feb-14,0,6.8,0,8.7,0,4.4,3, 
02-Feb-14,0,12.5,0,9.4,0,4.3,2.9, 
03-Feb-14,0,2,0,8.3,0,4,1.5, 
04-Feb-14,0,6.5,0,7.5,0,2.1,1.5, 
05-Feb-14,0,4.5,0,7.2,0,1.5,0.5, 
